rank,year,duration,age_limit,rating,numberof_ratings,Metascore,storyline,movie_name,processed_storyline
282,1966,1h 25m,X,8.1,(132K),86.0,A nurse is put in charge of a mute actress and finds that their personae are melding together., Persona,a nurse is put in charge of a mute actress and finds that their personae are melding together
283,2014,2h 33m,12A,8.1,(203K),,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religious views on people., PK,an alien on earth loses the only device he can use to communicate with his spaceship his innocent nature and childlike questions force the country to evaluate the impact of religious views on people
284,1934,1h 45m,A,8.1,(113K),87.0,A rogue reporter trailing a runaway heiress for a big story joins her on a bus heading from Florida to New York and they end up stuck with each other when the bus leaves them behind at one of the stops along the way., It Happened One Night,a rogue reporter trailing a runaway heiress for a big story joins her on a bus heading from florida to new york and they end up stuck with each other when the bus leaves them behind at one of the stops along the way
285,2009,1h 32m,12A,8.1,(187K),,"In 1976 Melbourne, a lonely 8-year-old girl strikes up a correspondence with an unlikely pen pal: a severely obese 44-year-old New Yorker with Asperger's syndrome.", Mary and Max,in melbourne a lonely yearold girl strikes up a correspondence with an unlikely pen pal a severely obese yearold new yorker with aspergers syndrome
286,1994,1h 39m,15,8.1,(110K),100.0,A model discovers a retired judge is keen on invading people's privacy., Three Colours: Red,a model discovers a retired judge is keen on invading peoples privacy
287,1942,1h 39m,U,8.1,(43K),86.0,"During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.", To Be or Not to Be,during the german occupation of poland an acting troupe becomes embroiled in a polish soldiers efforts to track down a german spy
288,1930,2h 32m,PG,8.1,(68K),91.0,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.", All Quiet on the Western Front,a german youth eagerly enters world war i but his enthusiasm wanes as he gets a firsthand view of the horror
289,1953,2h 11m,PG,8.1,(67K),85.0,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.", The Wages of Fear,in a decrepit south american village four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe
290,1939,2h 9m,U,8.1,(122K),73.0,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.", Mr,a naive youth leader is appointed to fill a vacancy in the us senate his idealistic plans promptly collide with corruption at home and subterfuge from his hero in washington but he tries to forge ahead despite attacks on his character
291,1948,2h 15m,PG,8.1,(39K),,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina., The Red Shoes,a young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina
292,1982,3h 8m,15,8.1,(68K),100.0,"Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls.", Fanny and Alexander,two young swedish children in the s experience the many comedies and tragedies of their lively and affectionate theatrical family the ekdahls
293,2001,3h 44m,PG,8.1,(121K),84.0,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers., Lagaan: Once Upon a Time in India,the people of a small village in victorian india stake their future on a game of cricket against their ruthless british rulers
294,1953,2h 16m,U,8.1,(69K),100.0,"An old couple visit their children and grandchildren in the city, but receive little attention.", Tokyo Story,an old couple visit their children and grandchildren in the city but receive little attention
295,1976,2h 57m,PG,8.1,(51K),,This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history., The Message,this epic historical drama chronicles the life and times of prophet muhammad and serves as an introduction to early islamic history
296,1969,2h 25m,AA,8.1,(26K),99.0,An account of underground resistance fighters in Nazi-occupied France., Army of Shadows,an account of underground resistance fighters in nazioccupied france
297,1957,1h 31m,PG,8.1,(116K),88.0,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.", Wild Strawberries,after living a life marked by coldness an aging professor is forced to confront the emptiness of his existence
298,2012,1h 57m,PG,8.1,(50K),71.0,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society.", Wolf Children,after her werewolf lover unexpectedly dies in an accident while hunting for food for their children a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society
299,1966,2h 1m,X,8.1,(66K),96.0,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.", The Battle of Algiers,in the s fear and violence escalate as the people of algiers fight for independence from the french government
300,1955,1h 57m,X,8.1,(70K),,The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi., Les Diaboliques,the wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi
301,1993,2h 51m,15,8.1,(33K),84.0,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and endure some of the most troublesome times in China's history., Farewell My Concubine,two boys meet at an opera training school in peking in their resulting friendship will span nearly years and endure some of the most troublesome times in chinas history
302,1959,1h 39m,PG,8.1,(129K),,"A young boy, left without attention, delves into a life of petty crime.", The 400 Blows,a young boy left without attention delves into a life of petty crime
303,2002,2h 9m,12A,8.1,(26K),82.0,"As the feudal Japan era draws to a close, a widower samurai experiences difficulty balancing clan loyalties, 2 young daughters, an aged mother, and the sudden reappearance of his childhood sweetheart.", The Twilight Samurai,as the feudal japan era draws to a close a widower samurai experiences difficulty balancing clan loyalties young daughters an aged mother and the sudden reappearance of his childhood sweetheart
304,2000,2h 53m,15,8.1,(29K),94.0,Each member of a middle-class Taipei family seeks to reconcile past and present relationships within their daily lives., Yi Yi,each member of a middleclass taipei family seeks to reconcile past and present relationships within their daily lives
305,1975,3h 24m,PG,8.1,(59K),,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.", Sholay,after his family is murdered by a notorious and ruthless bandit a former police officer enlists the services of two outlaws to capture the bandit
306,1960,2h 8m,A,8.1,(33K),75.0,"Based on a real-life case in 1925; two great lawyers argue the case for, and against, a Tennessee science teacher accused of the crime of teaching Darwin's theory of evolution.", Inherit the Wind,based on a reallife case in two great lawyers argue the case for and against a tennessee science teacher accused of the crime of teaching darwins theory of evolution
307,1951,1h 51m,A,8.1,(39K),72.0,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.", Ace in the Hole,a frustrated former bigcity journalist now stuck working for an albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career but the situation quickly escalates into an outofcontrol circus
308,1958,2h 19m,PG,8.1,(43K),89.0,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.", The Hidden Fortress,lured by gold two greedy peasants unknowingly escort a princess and her general across enemy lines
309,1928,1h 50m,PG,8.1,(61K),98.0,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.", The Passion of Joan of Arc,in jeanne darc is placed on trial on charges of heresy the ecclesiastical jurists attempt to force jeanne to recant her claims of holy visions
310,1926,1h 18m,U,8.1,(99K),,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.", The General,after being rejected by the confederate military not realizing it was due to his crucial civilian role an engineer must singlehandedly recapture his beloved locomotive after it is seized by union spies and return it through enemy lines
311,1927,1h 34m,A,8.1,(54K),95.0,"A sophisticated city woman seduces a farmer and convinces him to murder his wife and join her in the city, but he ends up rekindling his romance with his wife when he changes his mind at the last moment.", Sunrise: A Song of Two Humans,a sophisticated city woman seduces a farmer and convinces him to murder his wife and join her in the city but he ends up rekindling his romance with his wife when he changes his mind at the last moment
312,2012,2h 31m,PG,8.1,(87K),,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal., Barfi!,three young people learn that love can neither be defined nor contained by societys definition of normal and abnormal
313,1949,1h 54m,A,8.1,(36K),89.0,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist., White Heat,a psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist
314,1957,1h 50m,PG,8.1,(52K),,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak., Nights of Cabiria,a waifish prostitute wanders the streets of rome looking for true love but finds only heartbreak
315,2004,1h 57m,PG-13,8.1,(26K),,A young couple's enduring love is tested when 27-year-old Su-jin is diagnosed with a rare form of Alzheimer's disease., A Moment to Remember,a young couples enduring love is tested when yearold sujin is diagnosed with a rare form of alzheimers disease
316,1988,2h 22m,15,8.1,(33K),,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves.", Time of the Gypsies,in this luminous tale set in the area around sarajevo and in italy perhan an engaging young romany gypsy with telekinetic powers is seduced by the quickcash world of petty crime which threatens to destroy him and those he loves
317,1978,1h 32m,AA,8.1,(38K),,"A devoted wife is visited by her mother, a successful concert pianist who had little time for her when she was young.", Autumn Sonata,a devoted wife is visited by her mother a successful concert pianist who had little time for her when she was young
318,2001,3h 3m,PG,8.1,(76K),,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.", Dil Chahta Hai,three inseparable childhood friends are just out of college nothing comes between them until they each fall in love and their wildly different approaches to relationships creates tension
319,2015,2h 43m,12A,8.1,(98K),,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family., Bajrangi Bhaijaan,an indian man with a magnanimous heart takes a young mute pakistani girl back to her homeland to reunite her with her family
320,2008,1h 44m,15,8.1,(83K),,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday., A Wednesday,a retiring police officer reminisces about the most astounding day of his career about a case that was never filed but continues to haunt him in his memories the case of a man and a wednesday
321,1991,2h 5m,PG,8.1,(36K),,"China in the 1920s. After her father's death, Songlian is forced to marry the wealthy Master Chen. With three wives already, each living in a separate house, there is fierce competition for his attention and the privileges that are gained.", Raise the Red Lantern,china in the s after her fathers death songlian is forced to marry the wealthy master chen with three wives already each living in a separate house there is fierce competition for his attention and the privileges that are gained
322,1925,1h 35m,U,8.1,(119K),,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.", The Gold Rush,a prospector goes to the klondike during the s gold rush in hopes of making his fortune and is smitten with a girl he sees in a dance hall
323,1986,2h,PG,8.1,(28K),,A greedy landowner and his backward nephew conspire to block the only water source for an adjoining property in order to bankrupt the owner and force him to sell., Jean de Florette,a greedy landowner and his backward nephew conspire to block the only water source for an adjoining property in order to bankrupt the owner and force him to sell
324,1955,1h 58m,12,8.1,(37K),97.0,"Four men plan a technically perfect crime, but the human element intervenes...", Rififi,four men plan a technically perfect crime but the human element intervenes
325,1937,1h 53m,U,8.1,(39K),,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.", La Grande Illusion,during wwi two french soldiers are captured and imprisoned in a german pow camp several escape attempts follow until they are eventually sent to a seemingly inescapable fortress
326,2016,2h 16m,15,8.1,(48K),,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.", Pink,when three young women are implicated in a crime a retired lawyer steps forward to help them clear their names
327,1999,2h 54m,18,8.1,(27K),,"After his brother is killed and father severely injured by terrorists, a young med student quits his studies to join the Indian Police Service to wipe out the terrorists.", Sarfarosh,after his brother is killed and father severely injured by terrorists a young med student quits his studies to join the indian police service to wipe out the terrorists
328,1988,1h 27m,18,8.1,(26K),,"A naive inexperienced young man spies on a woman who lives across the courtyard, and falls in love with her. He starts using tricks which he hopes will lead to them meeting.", A Short Film About Love,a naive inexperienced young man spies on a woman who lives across the courtyard and falls in love with her he starts using tricks which he hopes will lead to them meeting
329,1996,2h 8m,15,8.1,(72K),,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover.", The Bandit,baran the bandit released from prison after years searches for vengeance and his lover
330,2013,1h 27m,15,8.1,(49K),73.0,"In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man, Ivo, has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in.", Tangerines,in war rages in abkhazia a breakaway region of georgia an estonian man ivo has decided to stay behind and harvest his crops of tangerines in a bloody conflict at his door a wounded man is left behind and ivo takes him in
331,2012,2h 5m,PG,8.1,(66K),,A shopkeeper takes God to court when his shop is destroyed by an earthquake., OMG: Oh My God!,a shopkeeper takes god to court when his shop is destroyed by an earthquake
332,2012,2h 2m,15,8.1,(66K),,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.", Kahaani,a pregnant womans search for her missing husband takes her from london to kolkata but everyone she questions denies having ever met him
333,2003,2h 36m,PG,8.1,(89K),,A gangster sets out to fulfill his father's dream of becoming a doctor., Munna Bhai M,a gangster sets out to fulfill his fathers dream of becoming a doctor
334,1961,1h 31m,X,8.1,(26K),,"Viridiana, a young nun about to take her final vows, pays a visit to her widowed uncle at the request of her Mother Superior.", Viridiana,viridiana a young nun about to take her final vows pays a visit to her widowed uncle at the request of her mother superior
335,2007,2h 33m,PG,8.1,(85K),68.0,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds.", Chak De! India,kabir khan the coach of the indian womens national hockey team dreams of making his allgirls team emerge victorious against all odds
336,2015,1h 49m,Not Rated,8.1,(32K),,"Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies.", Masaan,along indias ganges river four people face prejudice a strict moral code and a punishing caste system as they confront personal tragedies
337,2006,2h 47m,15,8.1,(123K),,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.", Rang De Basanti,the story of six young indians who assist an english woman to film a documentary on the freedom fighters from their past and the events that lead them to relive the longforgotten saga of freedom
338,2013,2h 26m,15,8.1,(69K),,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled., Queen,a delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled
339,2019,2h 10m,15,8.1,(37K),,"In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination.", Article 15,in the rural heartlands of india an upright police officer sets out on a crusade against violent castebased crimes and discrimination
340,2005,2h 2m,12A,8.1,(36K),,"The cathartic tale of a young woman who can't see, hear, or speak, and the teacher who brings a ray of light into her dark world.", Black,the cathartic tale of a young woman who cant see hear or speak and the teacher who brings a ray of light into her dark world
341,1928,1h 12m,U,8.1,(36K),90.0,The Tramp finds work and the girl of his dreams at a circus., The Circus,the tramp finds work and the girl of his dreams at a circus
342,2010,2h 14m,Not Rated,8.1,(48K),,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.", Udaan,expelled from his school a year old boy returns home to his abusive and oppressive father
343,2015,2h 12m,15,8.1,(39K),,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide., Talvar,an experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide
344,1998,1h 47m,,8.1,(28K),,"When Altan swipes prescription drugs from his brother Nuri's pharmacy, they soon find themselves on a dangerous but funny road trip to get rid of the stuff and escape the mafiosi Altan tried to double-cross. Along the way, the brother who are compete opposites finally bond.", Her Sey Ã‡ok GÃ¼zel Olacak,when altan swipes prescription drugs from his brother nuris pharmacy they soon find themselves on a dangerous but funny road trip to get rid of the stuff and escape the mafiosi altan tried to doublecross along the way the brother who are compete opposites finally bond
345,1971,2h 2m,U,8.1,(35K),,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.", Anand,the story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs as told by his best friend
346,2021,2h 35m,12A,8.0,(879K),74.0,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future., Dune: Part One,a noble family becomes embroiled in a war for control over the galaxys most valuable asset while its heir becomes troubled by visions of a dark future
347,2016,1h 48m,15,8.0,(1.1M),65.0,"A wisecracking mercenary gets experimented on and becomes immortal yet hideously scarred, and sets out to track down the man who ruined his looks.", Deadpool,a wisecracking mercenary gets experimented on and becomes immortal yet hideously scarred and sets out to track down the man who ruined his looks
348,2017,2h 44m,15,8.0,(672K),81.0,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.", Blade Runner 2049,young blade runner ks discovery of a longburied secret leads him to track down former blade runner rick deckard whos been missing for thirty years
349,1987,1h 38m,PG,8.0,(453K),78.0,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.", The Princess Bride,a bedridden boys grandfather reads him the story of a farmboyturnedpirate who encounters numerous obstacles enemies and allies in his quest to be reunited with his true love
350,2001,1h 53m,15,8.0,(854K),88.0,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.", Donnie Darko,after narrowly escaping a bizarre accident a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes
351,2013,2h 6m,15,8.0,(675K),91.0,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.", Her,in a near future a lonely writer develops an unlikely relationship with an operating system designed to meet his every need
352,2016,2h 8m,12A,8.0,(678K),94.0,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.", La La Land,while navigating their careers in los angeles a pianist and an actress fall in love while attempting to reconcile their aspirations for the future
353,1968,1h 52m,PG,8.0,(198K),79.0,An astronaut crew crash-lands on a planet where highly intelligent non-human ape species are dominant and humans are enslaved., Planet of the Apes,an astronaut crew crashlands on a planet where highly intelligent nonhuman ape species are dominant and humans are enslaved
354,2014,2h 1m,12A,8.0,(1.3M),76.0,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe., Guardians of the Galaxy,a group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe
355,2015,2h 24m,12A,8.0,(931K),80.0,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue.", The Martian,an astronaut becomes stranded on mars after his team assume him dead and must rely on his ingenuity to find a way to signal to earth that he is alive and can survive until a potential rescue
356,2010,1h 48m,15,8.0,(829K),79.0,"Nina is a talented but unstable ballerina on the verge of stardom. Pushed to the breaking point by her artistic director and a seductive rival, Nina's grip on reality slips, plunging her into a waking nightmare.", Black Swan,nina is a talented but unstable ballerina on the verge of stardom pushed to the breaking point by her artistic director and a seductive rival ninas grip on reality slips plunging her into a waking nightmare
357,2015,2h 36m,15,8.0,(879K),76.0,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team., The Revenant,a frontiersman on a fur trading expedition in the s fights for survival after being mauled by a bear and left for dead by members of his own hunting team
358,2006,2h 24m,15,8.0,(697K),80.0,"After earning a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, in Montenegro.", Casino Royale,after earning a licence to kill secret agent james bond sets out on his first mission as bond must defeat a private banker funding terrorists in a highstakes game of poker at casino royale in montenegro
359,2014,1h 54m,12A,8.0,(829K),71.0,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life.", The Imitation Game,during world war ii the english mathematical genius alan turing tries to crack the german enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life
360,2004,1h 55m,U,8.0,(814K),90.0,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.", The Incredibles,while trying to lead a quiet suburban life a family of undercover superheroes are forced into action to save the world
361,2012,2h 23m,12A,8.0,(1.5M),69.0,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity., Avengers Assemble,earths mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous loki and his alien army from enslaving humanity
362,2016,1h 48m,PG,8.0,(550K),78.0,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.", Zootropolis,in a city of anthropomorphic animals a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy
363,1967,1h 46m,X,8.0,(289K),83.0,A disillusioned college graduate finds himself torn between his older lover and her daughter., The Graduate,a disillusioned college graduate finds himself torn between his older lover and her daughter
364,1974,1h 46m,PG,8.0,(170K),83.0,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body.", Young Frankenstein,an american grandson of the infamous scientist struggling to prove that his grandfather was not as insane as people believe is invited to transylvania where he discovers the process that reanimates a dead body
365,2005,2h 4m,18,8.0,(795K),74.0,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.", Sin City,an exploration of the dark and miserable basin city and three of its residents all of whom are caught up in violent corruption
366,1968,2h 17m,18,8.0,(237K),96.0,"A young couple trying for a baby moves into an aging, ornate apartment building on Central Park West, where they find themselves surrounded by peculiar neighbors.", Rosemary's Baby,a young couple trying for a baby moves into an aging ornate apartment building on central park west where they find themselves surrounded by peculiar neighbors
367,2004,2h 17m,18,8.0,(810K),83.0,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.", Kill Bill: Vol,the bride continues her quest of vengeance against her former boss and lover bill the reclusive bouncer budd and the treacherous oneeyed elle
368,2006,1h 57m,12A,8.0,(565K),64.0,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career., The Pursuit of Happyness,a struggling salesman takes custody of his son as hes poised to begin a lifechanging professional career
369,1975,2h 5m,X,8.0,(274K),86.0,"Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does.", Dog Day Afternoon,three amateur bank robbers plan to hold up a bank a nice simple robbery walk in take the money and run unfortunately the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does
370,1990,3h 1m,PG,8.0,(293K),72.0,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose.", Dances with Wolves,lieutenant john dunbar assigned to a remote western civil war outpost finds himself engaging with a neighbouring sioux settlement causing him to question his own purpose
371,1999,3h 8m,18,8.0,(330K),78.0,"An epic mosaic of interrelated characters in search of love, forgiveness and meaning in the San Fernando Valley.", Magnolia,an epic mosaic of interrelated characters in search of love forgiveness and meaning in the san fernando valley
372,2020,1h 40m,PG,8.0,(383K),83.0,"Joe is a middle-school band teacher whose life hasn't quite gone the way he expected. His true passion is jazz. But when he travels to another realm to help someone find their passion, he soon discovers what it means to have soul.", Soul,joe is a middleschool band teacher whose life hasnt quite gone the way he expected his true passion is jazz but when he travels to another realm to help someone find their passion he soon discovers what it means to have soul
373,2021,1h 51m,12A,8.0,(166K),72.0,"As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear of abandoning her parents.", CODA,as a coda child of deaf adults ruby is the only hearing person in her deaf family when the familys fishing business is threatened ruby finds herself torn between pursuing her passion at berklee college of music and her fear of abandoning her parents
374,2003,2h 5m,PG,8.0,(460K),58.0,A frustrated son tries to determine the fact from fiction in his dying father's life., Big Fish,a frustrated son tries to determine the fact from fiction in his dying fathers life
375,2006,2h 23m,15,8.0,(589K),64.0,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.", Blood Diamond,a fisherman a smuggler and a syndicate of businessmen match wits over the possession of a priceless diamond
376,1992,1h 30m,U,8.0,(470K),86.0,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true., Aladdin,a kindhearted street urchin and a powerhungry grand vizier vie for a magic lamp that has the power to make their deepest wishes come true
377,1995,2h 9m,15,8.0,(649K),75.0,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.", Twelve Monkeys,in a future world devastated by disease a convict is sent back in time to gather information about the manmade virus that wiped out most of the human population on the planet
378,1988,2h 13m,15,8.0,(549K),65.0,"After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic-savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance.", Rain Man,after a selfish la yuppie learns his estranged father left a fortune to an autisticsavant brother in ohio that he didnt know existed he absconds with his brother and sets out across the country hoping to gain a larger inheritance
379,1992,2h 36m,15,8.0,(331K),57.0,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.", Scent of a Woman,a prep school student needing money agrees to babysit a blind man but the job is not at all what he anticipated
380,1997,1h 21m,18,8.0,(97K),67.0,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.", Perfect Blue,a pop singer gives up her career to become an actress but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past
381,1993,1h 41m,PG,8.0,(688K),72.0,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day.", Groundhog Day,a narcissistic selfcentered weatherman finds himself in a time loop on groundhog day
382,1991,1h 24m,U,8.0,(481K),95.0,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love., Beauty and the Beast,a prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young womans love
383,1955,1h 32m,X,8.0,(98K),97.0,"A self-proclaimed preacher marries a gullible widow whose young children are reluctant to tell him where their real dad hid the $10,000 he'd stolen in a robbery.", The Night of the Hunter,a selfproclaimed preacher marries a gullible widow whose young children are reluctant to tell him where their real dad hid the hed stolen in a robbery
384,2008,2h,15,8.0,(880K),84.0,"A teenager from the slums of Mumbai becomes a contestant on the show 'Kaun Banega Crorepati?' When interrogated under suspicion of cheating, he revisits his past, revealing how he had all the answers.", Slumdog Millionaire,a teenager from the slums of mumbai becomes a contestant on the show kaun banega crorepati when interrogated under suspicion of cheating he revisits his past revealing how he had all the answers
385,1989,2h,18,8.0,(113K),93.0,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.", Do the Right Thing,on the hottest day of the year on a street in the bedfordstuyvesant section of brooklyn everyones hate and bigotry smolders and builds until it explodes into violence
386,2010,1h 58m,15,8.0,(710K),88.0,"The story of King George VI, his unexpected ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.", The King's Speech,the story of king george vi his unexpected ascension to the throne of the british empire in and the speech therapist who helped the unsure monarch overcome his stammer
387,2016,1h 46m,15,8.0,(194K),,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense., The Invisible Guest,a successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense
388,2016,1h 58m,PG,8.0,(252K),69.0,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.", Lion,a fiveyearold indian boy is adopted by an australian couple after getting lost hundreds of kilometers from home years later he sets out to find his lost family
389,2003,2h 58m,15,8.0,(159K),61.0,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price.", Dogville,a woman on the run from the mob is reluctantly accepted in a small colorado community in exchange for labor but when a search visits the town she finds out that their support has a price
